Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
193,05/09/1964,2338,4445,6081,2135,2377
194,09/09/1964,2106,5497,6782,5595,4957
195,12/09/1964,9543,7954,2135,8982,1848
196,16/09/1964,9501,5471,5685,5867,1922
197,19/09/1964,2155,6052,806,4876,9860
198,23/09/1964,7417,1429,2144,6481,6953
199,26/09/1964,1795,1357,4129,1248,1523
200,30/09/1964,8665,1411,1803,5796,7735
201,03/10/1964,5291,1484,3906,964,4031
202,07/10/1964,9743,3654,8304,6778,8603
203,10/10/1964,9484,653,9816,6688,262
204,14/10/1964,6309,9641,8104,5757,3986
205,17/10/1964,5114,3325,4234,3242,8688
206,21/10/1964,2813,5340,1967,602,9151
207,24/10/1964,6456,986,9862,5472,1890
208,28/10/1964,4547,5074,6271,2198,3539
209,31/10/1964,5448,3638,2827,1528,715
210,04/11/1964,2973,5429,5161,7387,9869
211,07/11/1964,6584,7942,4598,1361,1564
212,11/11/1964,8831,8980,3303,3405,8853
213,14/11/1964,9204,9670,8480,3079,9297
214,18/11/1964,4169,3079,2650,4679,9041
215,21/11/1964,1546,4664,5150,9519,8029
216,25/11/1964,7387,1860,1590,5724,4408
217,28/11/1964,7787,5971,4617,5199,98
218,02/12/1964,2038,1577,6321,7260,4971
219,05/12/1964,6269,6129,4529,7166,5264
220,09/12/1964,6020,6501,6793,7551,9339
221,12/12/1964,9667,1077,4781,7838,5913
222,16/12/1964,3991,1644,1275,7349,5302
223,19/12/1964,9045,4450,9462,4518,1945
224,23/12/1964,1501,4258,1380,5131,4479
225,26/12/1964,8195,5382,1030,5792,8201
226,30/12/1964,9915,458,6633,4001,1236
227,06/01/1965,2585,95,2795,8453,1575
228,09/01/1965,4796,6001,5202,6865,9599
229,13/01/1965,2088,6447,2247,4194,431
230,16/01/1965,7542,8235,9734,5862,2910
231,23/01/1965,7757,8769,6655,552,5699
232,27/01/1965,4944,8064,2462,6932,4134
233,30/01/1965,5202,8388,9595,1907,5706
234,03/02/1965,4878,53,3071,3495,4694
235,06/02/1965,2116,7022,9092,6538,5313
236,10/02/1965,4577,5726,2261,5451,1026
237,13/02/1965,310,5154,4344,8729,5704
238,17/02/1965,8791,7075,6812,4459,6883
239,20/02/1965,4352,9339,8491,1900,4945
240,24/02/1965,2905,326,7883,4454,4389
241,27/02/1965,4615,8478,6871,9252,270
242,06/03/1965,5487,4235,2244,5330,8345
243,10/03/1965,5591,6643,6451,1766,4238
244,13/03/1965,438,9183,7356,9473,2023
245,17/03/1965,7292,952,1667,2122,6847
246,20/03/1965,7632,8369,4434,8835,5523
247,24/03/1965,2554,6967,5798,1560,2655
248,27/03/1965,239,7331,2619,7206,1270
249,31/03/1965,2110,9630,1834,7855,4421
250,03/04/1965,4303,7771,8264,9872,3560
251,07/04/1965,9369,3181,3060,7751,8960
252,10/04/1965,2178,6683,700,9761,8705
253,14/04/1965,4294,8123,894,9341,5832
254,17/04/1965,6357,478,6899,1295,168
255,24/04/1965,9611,2845,8269,5782,5995
256,28/04/1965,2128,6251,5771,6228,8560
257,05/05/1965,8608,2753,2428,6671,4077
258,08/05/1965,8321,5938,3540,8293,7190
259,12/05/1965,6982,6947,8965,6807,2831
260,15/05/1965,1818,8312,3233,6330,1226
261,19/05/1965,5100,2928,4675,1596,27
262,22/05/1965,8740,1409,8468,2679,6781
263,26/05/1965,2408,4362,698,2984,2964
264,29/05/1965,6178,6075,2929,6179,5337
265,02/06/1965,3736,7359,3119,4217,1534
266,05/06/1965,2678,3552,8538,545,9412
267,09/06/1965,8143,404,8212,9141,4572
268,12/06/1965,8506,1470,4715,9122,9261
269,16/06/1965,455,4805,8523,1644,1902
270,19/06/1965,4313,2115,9587,4222,3431
271,23/06/1965,8782,5032,8994,4968,3394
272,26/06/1965,1677,8725,6900,1183,3842
273,30/06/1965,4704,8949,7301,9005,8555
274,03/07/1965,6961,9512,8163,9675,7143
275,07/07/1965,6806,1567,4121,5062,9234
276,10/07/1965,9609,3913,30,5966,1666
277,14/07/1965,3704,9124,2260,4424,9835
278,17/07/1965,6561,5569,7799,808,9884
279,21/07/1965,5882,514,7473,2564,9409
280,24/07/1965,4953,2627,691,6935,821
281,28/07/1965,5981,8542,5587,4481,5807
282,31/07/1965,5166,9210,6721,478,7251
283,04/08/1965,7639,1049,500,9794,9383
284,07/08/1965,762,2676,1853,3954,8982
285,11/08/1965,6380,2543,2212,5981,1234
286,14/08/1965,6219,4623,2284,2354,882
287,18/08/1965,2261,8648,7110,9963,2593
288,21/08/1965,4907,1530,4505,846,4209
289,25/08/1965,752,5134,9935,7507,9377
290,28/08/1965,6700,5439,3529,6651,856
291,01/09/1965,6429,6356,9203,9505,7075
292,04/09/1965,4554,3755,6483,3723,7824
293,08/09/1965,880,9398,6985,5406,9139
294,11/09/1965,3384,8667,1943,8287,8790
295,15/09/1965,9508,6425,5902,4242,5515
296,18/09/1965,6148,7238,630,8086,7597
297,22/09/1965,4707,7682,7919,4821,7213
298,25/09/1965,2372,5183,5656,6791,8664
299,29/09/1965,7392,1706,2677,5855,9829
300,02/10/1965,7882,6026,9994,6903,3720
301,06/10/1965,4624,7475,4183,2229,8683
302,09/10/1965,3826,3590,5686,7313,9321
303,13/10/1965,4731,1473,7614,1544,2521
304,16/10/1965,8158,284,9254,78,1778
305,20/10/1965,7420,8610,4377,2123,6763
306,23/10/1965,2801,945,3126,7787,182
307,27/10/1965,739,1244,1421,846,3760
308,30/10/1965,542,7082,1155,4071,482
309,03/11/1965,4084,2579,5162,8574,8427
310,06/11/1965,8003,45,6581,749,6257
311,10/11/1965,8756,613,5485,5094,7060
312,13/11/1965,7760,4633,8532,6889,2053
313,17/11/1965,3530,4206,3778,7276,708
314,20/11/1965,907,824,8501,2382,9264
315,24/11/1965,7297,7604,4821,799,1447
316,27/11/1965,4248,8128,4240,9055,8198
317,01/12/1965,7024,3772,4119,5253,9149
318,04/12/1965,8077,9149,799,9617,6469
319,08/12/1965,6050,6376,9236,1629,2430
320,11/12/1965,6689,6425,9551,5324,6619
321,15/12/1965,5100,3276,7500,9527,577
322,18/12/1965,2109,3176,6945,5992,7930
323,22/12/1965,784,5326,6521,4724,7418
324,29/12/1965,1945,3404,344,6572,1813
325,05/01/1966,5273,3066,4163,2763,8391
326,08/01/1966,6800,2662,2756,5752,1131
327,12/01/1966,9276,3660,4098,9509,5189
328,15/01/1966,6920,2065,4824,1641,8380
329,19/01/1966,8997,6916,1716,6740,3108
330,22/01/1966,1499,152,5015,8934,7195
331,26/01/1966,8418,2977,5738,4134,7804
332,29/01/1966,603,134,6268,427,1514
333,02/02/1966,3010,6046,8243,7159,3400
334,05/02/1966,6842,5221,6051,2843,5342
335,09/02/1966,5450,1816,9344,7641,8428
336,12/02/1966,5199,7737,7686,330,3017
337,16/02/1966,4662,676,2588,5575,6026
338,19/02/1966,7140,3968,5050,4786,3158
339,26/02/1966,9147,388,6561,1615,1264
340,02/03/1966,9660,4319,8631,6154,1914
341,05/03/1966,7686,1601,383,8330,4169
342,09/03/1966,3521,3351,9278,6949,7051
343,12/03/1966,9868,8848,1385,9580,9900
344,16/03/1966,3172,568,6709,7996,7993
345,19/03/1966,6245,7575,3483,2302,1464
346,23/03/1966,2618,8020,3029,7645,1620
347,26/03/1966,7597,2669,3855,1854,3533
348,30/03/1966,6576,5092,5291,6051,1841
349,02/04/1966,7278,2123,9548,9403,479
350,06/04/1966,2639,1886,414,6639,6969
351,09/04/1966,8316,1583,8407,9917,1007
352,13/04/1966,4751,4197,1816,6869,6040
353,16/04/1966,3753,7862,1749,9945,3203
354,20/04/1966,61,3400,7291,6511,7611
355,23/04/1966,9824,2296,3686,5618,1622
356,27/04/1966,112,7912,3777,7803,3981
357,30/04/1966,7984,3218,5365,1733,7361
358,04/05/1966,7403,1172,6655,4953,1013
359,07/05/1966,5352,1816,8656,1011,5946
360,11/05/1966,3389,8765,3929,2416,1154
361,14/05/1966,5282,2009,7767,2895,7676
362,18/05/1966,9624,6421,769,3336,5982
363,21/05/1966,8040,6168,92,2742,8613
364,25/05/1966,2615,5733,1028,4438,9153
365,28/05/1966,5769,5759,4358,8753,3235
366,01/06/1966,4333,623,9698,4342,6873
367,04/06/1966,3114,7481,9219,561,8581
368,08/06/1966,9946,5630,9211,554,1149
369,11/06/1966,2309,8590,9937,7181,9946
370,15/06/1966,798,2853,3768,4707,4792
371,18/06/1966,5288,9007,487,1518,5629
372,22/06/1966,4317,6079,8333,9917,523
373,25/06/1966,8392,2781,9772,4462,615
374,29/06/1966,2034,6947,5188,4717,124
375,02/07/1966,4366,4236,9190,6717,5767
376,06/07/1966,9374,454,7113,3298,8765
377,07/07/1966,2702,2168,2060,5957,0
378,13/07/1966,6737,8616,3607,5831,8771
379,16/07/1966,7838,7381,3458,2672,21
380,20/07/1966,200,8646,9065,3692,2383
381,23/07/1966,6661,2912,3536,6344,8324
382,01/08/1966,0,0,0,0,0
383,02/08/1966,0,0,0,0,0
384,03/08/1966,4029,3548,8342,5779,8120
385,06/08/1966,811,9575,6953,1922,8298
386,10/08/1966,1335,7069,3660,9704,7174
387,13/08/1966,7392,2536,7484,1259,7389
388,17/08/1966,7860,5082,7184,4702,3207
389,20/08/1966,6760,8723,1408,6415,1423
390,24/08/1966,4872,1120,2051,6503,1057
391,27/08/1966,2972,5221,4468,1427,1091
392,31/08/1966,3665,6734,8185,6949,2093
393,03/09/1966,1282,4684,7058,1705,1319
394,10/09/1966,5241,2852,218,3597,2007
395,14/09/1966,6077,4066,851,1223,8335
396,17/09/1966,2350,5040,5579,58,1726
397,21/09/1966,3319,7255,6982,5423,7503
398,24/09/1966,594,4740,9993,8213,2240
399,28/09/1966,457,91,2959,1236,4260
400,01/10/1966,761,926,2985,1195,7779
401,05/10/1966,5018,5974,3702,8839,8988
402,08/10/1966,1763,9461,1424,6027,0
403,12/10/1966,431,8146,292,115,9846
404,15/10/1966,7625,4579,3063,5644,7005
405,19/10/1966,7533,904,7874,9388,496
406,22/10/1966,9951,5075,7654,4311,2832
407,26/10/1966,3038,1154,8904,103,6963
408,29/10/1966,4922,6928,1825,890,9353
409,05/11/1966,3479,9193,5882,133,5142
410,09/11/1966,438,678,85,4257,2928
411,12/11/1966,6238,7918,6810,9143,1484
412,16/11/1966,7412,9504,7306,7277,8855
413,19/11/1966,9554,3159,79,1925,7331
414,23/11/1966,697,1571,9240,2833,3523
415,26/11/1966,6226,3874,3230,3679,9515
416,30/11/1966,9561,4181,1697,5519,6508
417,03/12/1966,5755,7457,6822,1142,3179
418,07/12/1966,5007,9563,1476,5362,1021
419,10/12/1966,1754,1221,356,5467,1474
420,14/12/1966,5752,8530,5937,49,8807
421,17/12/1966,5328,8243,3501,2070,9069
422,21/12/1966,1458,3504,5206,8124,3275
423,24/12/1966,51,4282,6330,135,2497
424,28/12/1966,9539,8134,8433,8342,7735
425,31/12/1966,3275,3618,9841,9189,2965
426,04/01/1967,9503,8068,1441,9293,194
427,07/01/1967,5573,2409,2347,1172,6554
428,11/01/1967,5411,1232,2825,6722,9711
429,14/01/1967,5530,4125,9910,5116,2646
430,18/01/1967,3988,5122,5999,5120,7413
431,21/01/1967,7193,953,7561,3192,5671
432,25/01/1967,3538,9118,8971,1447,1074
433,28/01/1967,1333,6332,4308,400,4836
434,01/02/1967,3483,73,3814,1465,8980
435,04/02/1967,5841,5493,9086,5214,5890
436,11/02/1967,394,5302,6054,1754,9653
437,15/02/1967,2403,6708,2816,492,3162
438,18/02/1967,2142,99,8044,2112,7863
439,22/02/1967,233,206,8029,3978,4981
440,25/02/1967,8446,3137,6684,2968,8962
441,01/03/1967,1115,8172,6055,1793,5132
442,04/03/1967,3106,1279,1574,1393,9326
443,08/03/1967,4736,5931,2732,4230,7451
444,11/03/1967,3040,1665,5563,14,5178
445,15/03/1967,318,8483,6142,9682,8602
446,18/03/1967,333,2820,84,3221,9627
447,22/03/1967,2301,9044,5223,7573,1047
448,25/03/1967,4749,8,8128,786,844
449,29/03/1967,109,4364,9455,8619,3428
450,01/04/1967,9993,4253,2852,3234,523
451,05/04/1967,8553,2407,9696,7301,7835
452,08/04/1967,161,1943,1720,1512,8162
453,12/04/1967,73,6402,9465,386,4773
454,15/04/1967,5940,3108,5189,1499,2226
455,19/04/1967,509,2422,5246,1833,9744
456,22/04/1967,4345,3841,7057,9436,4617
457,26/04/1967,4406,3870,4129,1657,3243
458,29/04/1967,3918,4557,5453,2748,9379
459,03/05/1967,9480,7360,9866,5308,366
460,06/05/1967,2631,9903,1430,4291,7164
461,10/05/1967,320,5616,9448,2691,4637
462,13/05/1967,6977,4902,7834,2838,7526
463,17/05/1967,2785,7154,3485,4635,9778
464,20/05/1967,8773,1090,7113,7793,7511
465,24/05/1967,4741,2239,4364,3793,1508
466,27/05/1967,6640,7267,2185,613,8729
467,31/05/1967,1757,8344,2297,5865,3728
468,03/06/1967,4247,8577,5397,6312,6255
469,07/06/1967,2156,9355,7466,3043,3072
470,10/06/1967,5302,2124,8947,8451,1719
471,14/06/1967,7369,2740,3948,898,6713
472,17/06/1967,6786,8791,9265,5002,7440
473,21/06/1967,2188,1884,8662,187,5395
474,24/06/1967,7621,8351,5991,9224,8875
475,28/06/1967,6239,5509,4411,798,9399
476,01/07/1967,5351,1345,5622,7588,9778
477,05/07/1967,4705,2444,4669,5460,3596
478,08/07/1967,8586,5205,3605,639,553
479,12/07/1967,8814,5461,9447,8013,5652
480,15/07/1967,1372,3334,7159,8694,9446
481,19/07/1967,4999,8586,1477,5671,7750
482,22/07/1967,2192,4509,7339,3029,8128
483,26/07/1967,6689,7869,4837,700,7762
484,29/07/1967,873,2945,6539,5673,9544
485,02/08/1967,3926,7635,8550,1183,2737
486,05/08/1967,9345,5621,3328,9826,4940
487,09/08/1967,84,3826,9209,1104,2419
488,12/08/1967,4254,131,9428,6911,8159
489,16/08/1967,3227,1255,1109,802,8712
490,19/08/1967,3159,3219,5426,7357,6767
491,23/08/1967,3825,1167,1852,3442,7447
492,26/08/1967,9392,5146,236,9511,3128
493,30/08/1967,6644,4397,6777,1147,3734
494,02/09/1967,9453,9635,8489,6148,2222
495,06/09/1967,7432,8153,7614,9027,1720
496,09/09/1967,1252,7750,3113,2234,4473
497,13/09/1967,7834,6069,4113,7420,4773
498,16/09/1967,7079,5735,7666,3449,238
499,20/09/1967,6718,7615,2092,8655,6897
500,23/09/1967,735,956,9284,5511,6864
501,27/09/1967,5039,6240,3515,956,5963
502,30/09/1967,8594,8739,9056,538,1384
503,04/10/1967,1208,6900,3131,2507,7446
504,07/10/1967,8880,8886,6647,3786,1599
