Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
170,13/06/1964,IIPI,PPPP,IIPI,PPIP,PPPI
171,17/06/1964,IIPP,PIPI,PPPP,PIIP,PIPI
172,20/06/1964,PPII,PIII,PPPI,IIII,PIIP
173,24/06/1964,PPII,PIII,PIIP,PPII,PPIP
174,27/06/1964,PPPI,IPPI,PPPI,PIPI,IPPI
175,01/07/1964,PIII,PIPP,IIPI,PPPI,PIIP
176,04/07/1964,IPII,PIPP,IIIP,IIPI,PIPI
177,08/07/1964,PPPI,IPIP,IPPP,IIPI,IPII
178,11/07/1964,PIPP,PIIP,PIIP,PPII,IIPI
179,15/07/1964,IPIP,IPIP,IIPI,IIIP,PIPI
180,18/07/1964,IPPI,PPIP,IIPP,PIPI,IPPI
181,22/07/1964,PPII,PIIP,PIII,PIPI,IPPP
182,25/07/1964,IIIP,PIPI,PPPP,PIII,PIIP
183,29/07/1964,IPIP,IIPI,PPPP,PPPP,PPIP
184,01/08/1964,IPPP,IIPP,PPIP,IPII,IPPP
185,05/08/1964,IPPP,IIPI,PPIP,IPPI,PPPP
186,08/08/1964,IIIP,PPPI,IIII,IIII,PPIP
187,12/08/1964,PPIP,PIPI,IIIP,PIPI,IPPP
188,19/08/1964,PIIP,PPPI,PPPI,IPPI,PPPP
189,22/08/1964,IPPP,IPPI,IIIP,PIPP,PIPP
190,26/08/1964,IIIP,PIII,IPII,IIPP,PIPI
191,29/08/1964,PIII,PIII,PIII,IPPI,IPPP
192,02/09/1964,PPII,IPPP,PPPI,PPPI,PPIP
193,05/09/1964,PIIP,PPPI,PPPI,PIII,PIII
194,09/09/1964,PIPP,IPII,PIPP,IIII,PIII
195,12/09/1964,IIPI,IIIP,PIII,PIPP,IPPP
196,16/09/1964,IIPI,IPII,IPPI,IPPI,IIPP
197,19/09/1964,PIII,PPIP,PPPP,PPIP,IPPP
198,23/09/1964,IPII,IPPI,PIPP,PPPI,PIII
199,26/09/1964,IIII,IIII,PIPI,IPPP,IIPI
200,30/09/1964,PPPI,IPII,IPPI,IIIP,IIII
201,03/10/1964,IPII,IPPP,IIPP,PIPP,PPII
202,07/10/1964,IIPI,IPIP,PIPP,PIIP,PPPI
203,10/10/1964,IPPP,PPII,IPIP,PPPP,PPPP
204,14/10/1964,PIPI,IPPI,PIPP,IIII,IIPP
205,17/10/1964,IIIP,IIPI,PPIP,IPPP,PPPP
206,21/10/1964,PPII,IIPP,IIPI,PPPP,IIII
207,24/10/1964,PPIP,PIPP,IPPP,IPIP,IPIP
208,28/10/1964,PIPI,IPIP,PPII,PIIP,IIII
209,31/10/1964,IPPP,IPIP,PPPI,IIPP,PIII
210,04/11/1964,PIII,IPPI,IIPI,IIPI,IPPI
211,07/11/1964,PIPP,IIPP,PIIP,IIPI,IIPP
212,11/11/1964,PPII,PIPP,IIPI,IPPI,PPII
213,14/11/1964,IPPP,IPIP,PPPP,IPII,IPII
214,18/11/1964,PIPI,IPII,PPIP,PPII,IPPI
215,21/11/1964,IIPP,PPPP,IIIP,IIII,PPPI
216,25/11/1964,IIPI,IPPP,IIIP,IIPP,PPPP
217,28/11/1964,IIPI,IIII,PPII,IIII,PPIP
218,02/12/1964,PPIP,IIII,PIPI,IPPP,PIII
219,05/12/1964,PPPI,PIPI,PIPI,IIPP,IPPP
220,09/12/1964,PPPP,PIPI,PIII,IIII,IIII
221,12/12/1964,IPPI,IPII,PIPI,IPIP,IIII
222,16/12/1964,IIII,IPPP,IPII,IIPI,IIPP
223,19/12/1964,IPPI,PPIP,IPPP,PIIP,IIPI
224,23/12/1964,IIPI,PPIP,IIPP,IIII,PPII
225,26/12/1964,PIII,IIPP,IPIP,IIIP,PPPI
226,30/12/1964,IIII,PPIP,PPII,PPPI,IPIP
227,06/01/1965,PIPI,PPII,PIII,PPII,IIII
228,09/01/1965,PIIP,PPPI,IPPP,PPPI,IIII
229,13/01/1965,PPPP,PPPI,PPPI,PIIP,PPII
230,16/01/1965,IIPP,PPII,IIIP,IPPP,PIIP
231,23/01/1965,IIII,PIPI,PPII,PIIP,IPII
232,27/01/1965,PIPP,PPPP,PPPP,PIIP,PIIP
233,30/01/1965,IPPP,PIPP,IIII,IIPI,IIPP
234,03/02/1965,PPIP,PPII,IPII,IPII,PPIP
235,06/02/1965,PIIP,IPPP,IPIP,PIIP,IIII
236,10/02/1965,PIII,IIPP,PPPI,IPII,IPPP
237,13/02/1965,PIIP,IIIP,PIPP,PIPI,IIPP
238,17/02/1965,PIII,IPII,PPIP,PPII,PPPI
239,20/02/1965,PIIP,IIII,PPII,IIPP,PIPI
240,24/02/1965,PIPI,PIPP,IPPI,PPIP,PIPI
241,27/02/1965,PPII,PPIP,PPII,IPIP,PPIP
242,06/03/1965,IPPI,PPII,PPPP,IIIP,PIPI
243,10/03/1965,IIII,PPPI,PPII,IIPP,PPIP
244,13/03/1965,PPIP,IIPI,IIIP,IPII,PPPI
245,17/03/1965,IPIP,PIIP,IPPI,PIPP,PPPI
246,20/03/1965,IPIP,PIPI,PPIP,PPII,IIPI
247,24/03/1965,PIIP,PIPI,IIIP,IIPP,PPII
248,27/03/1965,PPII,IIII,PPII,IPPP,IPIP
249,31/03/1965,PIIP,IPIP,IPIP,IPII,PPPI
250,03/04/1965,PIPI,IIII,PPPP,IPIP,IIPP
251,07/04/1965,IIPI,IIPI,IPPP,IIII,PIPP
252,10/04/1965,PIIP,PPPI,PIPP,IIPI,PIPI
253,14/04/1965,PPIP,PIPI,PPIP,IIPI,IPIP
254,17/04/1965,PIII,PPIP,PPII,IPII,PIPP
255,24/04/1965,IPII,PPPI,PPPI,IIPP,IIII
256,28/04/1965,PIPP,PPII,IIII,PPPP,PIPP
257,05/05/1965,PPPP,PIII,PPPP,PPII,PPII
258,08/05/1965,PIPI,IIIP,IIPP,PPII,IIIP
259,12/05/1965,PIPP,PIPI,PIPI,PPPI,PPII
260,15/05/1965,IPIP,PIIP,IPII,PIIP,IPPP
261,19/05/1965,IIPP,PIPP,PPII,IIIP,PPPI
262,22/05/1965,PIPP,IPPI,PPPP,PPII,PIPI
263,26/05/1965,PPPP,PIPP,PPIP,PIPP,PIPP
264,29/05/1965,PIIP,PPII,PIPI,PIII,IIII
265,02/06/1965,IIIP,IIII,IIII,PPII,IIIP
266,05/06/1965,PPIP,IIIP,PIIP,PIPI,IPIP
267,09/06/1965,PIPI,PPPP,PPIP,IIPI,PIIP
268,12/06/1965,PIPP,IPIP,PIII,IIPP,IPPI
269,16/06/1965,PPII,PPPI,PIPI,IPPP,IIPP
270,19/06/1965,PIII,PIII,IIPI,PPPP,IPII
271,23/06/1965,PIPP,IPIP,PIIP,PIPP,IIIP
272,26/06/1965,IPII,PIPI,PIPP,IIPI,IPPP
273,30/06/1965,PIPP,PIPI,IIPI,IPPI,PIII
274,03/07/1965,PIPI,IIIP,PIPI,IPII,IIPI
275,07/07/1965,PPPP,IIPI,PIPI,IPPP,IPIP
276,10/07/1965,IPPI,IIII,PPIP,IIPP,IPPP
277,14/07/1965,IIPP,IIPP,PPPP,PPPP,IPII
278,17/07/1965,PIPI,IIPI,IIII,PPPP,IPPP
279,21/07/1965,IPPP,PIIP,IPII,PIPP,IPPI
280,24/07/1965,PIII,PPPI,PPII,PIII,PPPI
281,28/07/1965,IIPI,PIPP,IIPI,PPPI,IPPI
282,31/07/1965,IIPP,IPIP,PIPI,PPIP,IPII
283,04/08/1965,IPII,IPPI,PIPP,IIIP,IIPI
284,07/08/1965,PIPP,PPIP,IPII,IIIP,PIPP
285,11/08/1965,PIPP,PIPI,PPIP,IIPI,IPIP
286,14/08/1965,PPII,PPPI,PPPP,PIIP,PPPP
287,18/08/1965,PPPI,PPPP,IIIP,IIPI,PIII
288,21/08/1965,PIPI,IIIP,PIPI,PPPP,PPPI
289,25/08/1965,PIIP,IIIP,IIII,IIPI,IIII
290,28/08/1965,PIPP,IPII,IIPI,PPII,PPIP
291,01/09/1965,PPPI,PIIP,IPPI,IIPI,IPII
292,04/09/1965,PIIP,IIII,PPPI,IIPI,IPPP
293,08/09/1965,PPPP,IIIP,PIPI,IPPP,IIII
294,11/09/1965,IIPP,PPPI,IIPI,PPPI,PIIP
295,15/09/1965,IIPP,PPPI,IIPP,PPPP,IIII
296,18/09/1965,PIPP,IPIP,PPIP,PPPP,IIII
297,22/09/1965,PIPI,IPPP,IIII,PPPI,IPII
298,25/09/1965,PIIP,IIPI,IPIP,PIII,PPPP
299,29/09/1965,IIIP,IIPP,PPII,IPII,IPPI
300,02/10/1965,IPPP,PPPP,IIIP,PIPI,IIPP
301,06/10/1965,PPPP,IPII,PIPI,PPPI,PPPI
302,09/10/1965,IPPP,IIIP,IPPP,IIII,IIPI
303,13/10/1965,PIII,IPII,IPIP,IIPP,PIPI
304,16/10/1965,PIIP,PPPP,IPIP,PPIP,IIIP
305,20/10/1965,IPPP,PPIP,PIII,PIPI,PIPI
306,23/10/1965,PPPI,PIPI,IIPP,IIPI,PIPP
307,27/10/1965,PIII,IPPP,IPPI,PPPP,IIPP
308,30/10/1965,PIPP,IPPP,IIII,PPII,PPPP
309,03/11/1965,PPPP,PIII,IIPP,PIIP,PPPI
310,06/11/1965,PPPI,PPPI,PIPI,PIPI,PPII
311,10/11/1965,PIIP,PPII,IPPI,IPIP,IPPP
312,13/11/1965,IIPP,PPII,PIIP,PPPI,PPII
313,17/11/1965,IIIP,PPPP,IIIP,IPIP,PIPP
314,20/11/1965,PIPI,PPPP,PIPI,PIPP,IPPP
315,24/11/1965,IPII,IPPP,PPPI,PIII,IPPI
316,27/11/1965,PPPP,PIPP,PPPP,IPII,PIIP
317,01/12/1965,IPPP,IIIP,PIII,IPII,IIPI
318,04/12/1965,PPII,IIPI,PIII,IPII,PPPI
319,08/12/1965,PPIP,PIIP,IPIP,IPPI,PPIP
320,11/12/1965,PPPI,PPPI,IIII,IIPP,PPII
321,15/12/1965,IIPP,IPIP,IIPP,IIPI,PIII
322,18/12/1965,PIPI,IIIP,PIPI,IIIP,IIIP
323,22/12/1965,PIPP,IIPP,PIPI,PIPP,IPIP
324,29/12/1965,IIPI,IPPP,PIPP,PIIP,IPII
325,05/01/1966,IPII,IPPP,PIPI,PIPI,PIII
326,08/01/1966,PPPP,PPPP,PIIP,IIIP,IIII
327,12/01/1966,IPIP,IPPP,PPIP,IIPI,IIPI
